Lead_ID,Name,Email,Phone,Company,Job_Title,Industry,Revenue ($),Location,Previous_Interactions
1,John Doe,bob@example.com,6181463932,Beta LLC,Marketing Manager,Finance,4606826,Los Angeles,0
2,John Doe,alice@example.com,1610203196,Beta LLC,Marketing Manager,Retail,5841872,Chicago,0
3,John Doe,bob@example.com,9165257051,Omega Ltd,Sales Rep,Technology,3323739,Chicago,5
4,John Doe,bob@example.com,9820059782,Gamma Co,Marketing Manager,Retail,5364498,Los Angeles,1
5,Bob Johnson,jane@example.com,2773557493,Omega Ltd,CEO,Manufacturing,8753205,Los Angeles,4
6,Jane Smith,jane@example.com,1934552864,Widgets Inc,IT Specialist,Healthcare,8142959,Boston,3
7,Bob Johnson,jane@example.com,3420865068,Gamma Co,IT Specialist,Retail,9549490,Los Angeles,2
8,John Doe,charlie@example.com,2219821883,Acme Corp,Marketing Manager,Technology,1377516,Los Angeles,1
9,Bob Johnson,alice@example.com,4447437662,Acme Corp,Sales Rep,Finance,1097428,Los Angeles,2
10,John Doe,john@example.com,3909348151,Acme Corp,Marketing Manager,Healthcare,7329137,San Francisco,2
11,Jane Smith,bob@example.com,7315248904,Acme Corp,IT Specialist,Manufacturing,3599964,Los Angeles,5
12,Bob Johnson,john@example.com,9091759578,Omega Ltd,Marketing Manager,Finance,5356735,Chicago,3
13,Charlie Green,john@example.com,6881717930,Gamma Co,Sales Rep,Healthcare,4490281,New York,2
14,Jane Smith,john@example.com,7596522884,Acme Corp,Marketing Manager,Technology,6443632,Boston,4
15,John Doe,jane@example.com,9012853256,Omega Ltd,CEO,Retail,8330371,Los Angeles,5
16,Jane Smith,john@example.com,4125439347,Gamma Co,IT Specialist,Healthcare,4098594,Boston,4
17,Charlie Green,john@example.com,9228646811,Widgets Inc,CEO,Technology,9204420,Chicago,1
18,Bob Johnson,john@example.com,3307266567,Gamma Co,IT Specialist,Manufacturing,5025820,Boston,5
19,Bob Johnson,john@example.com,5008719008,Widgets Inc,HR Coordinator,Healthcare,8351950,San Francisco,5
20,Jane Smith,charlie@example.com,3814740915,Acme Corp,CEO,Finance,7193842,Chicago,5
21,Bob Johnson,charlie@example.com,1108973954,Gamma Co,CEO,Retail,4424514,Los Angeles,4
22,Bob Johnson,john@example.com,9771475233,Gamma Co,HR Coordinator,Technology,7805975,New York,5
23,Bob Johnson,john@example.com,3596235014,Widgets Inc,Sales Rep,Manufacturing,5902964,San Francisco,3
24,Alice Brown,alice@example.com,1206949928,Beta LLC,IT Specialist,Technology,2125045,Chicago,4
25,Jane Smith,alice@example.com,2078043703,Beta LLC,Marketing Manager,Technology,5846727,San Francisco,4
26,Charlie Green,jane@example.com,6736335092,Acme Corp,Sales Rep,Healthcare,5809656,Boston,5
27,Alice Brown,bob@example.com,8462240595,Acme Corp,Sales Rep,Technology,6326125,Los Angeles,5
28,Charlie Green,alice@example.com,2402795731,Omega Ltd,CEO,Retail,433342,Los Angeles,0
29,Charlie Green,jane@example.com,3388055754,Gamma Co,Marketing Manager,Healthcare,5192587,Los Angeles,1
30,Jane Smith,bob@example.com,3468770752,Omega Ltd,Sales Rep,Retail,9891754,New York,1
31,Charlie Green,jane@example.com,9683904455,Beta LLC,IT Specialist,Retail,3480534,Chicago,1
32,Charlie Green,bob@example.com,4069066931,Widgets Inc,Sales Rep,Technology,6433174,Boston,4
33,Jane Smith,jane@example.com,1524061655,Beta LLC,Marketing Manager,Healthcare,1524182,Chicago,4
34,Charlie Green,bob@example.com,8679214721,Gamma Co,Sales Rep,Healthcare,6935817,New York,1
35,Alice Brown,charlie@example.com,4182145427,Widgets Inc,IT Specialist,Manufacturing,7018295,Chicago,4
36,Charlie Green,jane@example.com,2235532359,Gamma Co,IT Specialist,Retail,6763587,New York,5
37,Jane Smith,jane@example.com,2017482707,Acme Corp,Sales Rep,Retail,9787217,Chicago,0
38,Bob Johnson,john@example.com,7253216797,Beta LLC,IT Specialist,Manufacturing,457059,Chicago,4
39,Jane Smith,john@example.com,6839938303,Gamma Co,Sales Rep,Retail,8368817,Los Angeles,3
40,John Doe,alice@example.com,6411267228,Acme Corp,Sales Rep,Technology,7465354,San Francisco,0
41,Jane Smith,alice@example.com,2527459397,Widgets Inc,Sales Rep,Manufacturing,2214545,San Francisco,0
42,Alice Brown,jane@example.com,9913126717,Beta LLC,CEO,Manufacturing,3022697,New York,0
43,Alice Brown,jane@example.com,8240869983,Omega Ltd,HR Coordinator,Technology,1589047,Boston,1
44,Charlie Green,alice@example.com,6260750990,Beta LLC,IT Specialist,Retail,3643383,San Francisco,3
45,Bob Johnson,bob@example.com,4448841004,Omega Ltd,Marketing Manager,Finance,2992691,San Francisco,4
46,Jane Smith,john@example.com,7390760715,Gamma Co,Sales Rep,Retail,9738836,San Francisco,1
47,Bob Johnson,charlie@example.com,9387086215,Gamma Co,CEO,Healthcare,759594,Chicago,4
48,Charlie Green,bob@example.com,4468379809,Gamma Co,Marketing Manager,Retail,5868084,Boston,4
49,Alice Brown,alice@example.com,7372901669,Omega Ltd,Marketing Manager,Finance,4862021,San Francisco,0
50,John Doe,jane@example.com,6955530033,Beta LLC,IT Specialist,Finance,554629,Los Angeles,2
51,Jane Smith,jane@example.com,9873229402,Widgets Inc,HR Coordinator,Technology,9824188,Los Angeles,3
52,Bob Johnson,john@example.com,4186876872,Beta LLC,Marketing Manager,Healthcare,1041054,Boston,2
53,Charlie Green,jane@example.com,9910911470,Omega Ltd,Sales Rep,Finance,3574876,Chicago,5
54,Bob Johnson,charlie@example.com,7124299874,Widgets Inc,CEO,Retail,925758,Los Angeles,0
55,Jane Smith,charlie@example.com,4646992988,Beta LLC,CEO,Technology,3705351,New York,0
56,Alice Brown,john@example.com,4402768232,Beta LLC,IT Specialist,Healthcare,1532764,Los Angeles,1
57,Alice Brown,alice@example.com,7454266529,Acme Corp,CEO,Technology,9078345,Boston,5
58,John Doe,bob@example.com,8235505849,Gamma Co,Sales Rep,Retail,6856410,Chicago,4
59,Jane Smith,charlie@example.com,4124760968,Widgets Inc,HR Coordinator,Retail,5165932,New York,4
60,Alice Brown,jane@example.com,5066533054,Acme Corp,Marketing Manager,Healthcare,3941640,San Francisco,0
61,Jane Smith,bob@example.com,4073364374,Gamma Co,Sales Rep,Manufacturing,2526752,San Francisco,2
62,Bob Johnson,bob@example.com,6612194569,Gamma Co,IT Specialist,Technology,1631243,Chicago,4
63,Charlie Green,alice@example.com,6458554739,Omega Ltd,CEO,Healthcare,6216509,Boston,1
64,Charlie Green,john@example.com,3630820466,Omega Ltd,HR Coordinator,Manufacturing,9546469,Los Angeles,4
65,Jane Smith,alice@example.com,1341731997,Widgets Inc,HR Coordinator,Technology,2824890,Boston,4
66,Bob Johnson,charlie@example.com,9684029185,Widgets Inc,Sales Rep,Healthcare,1957804,Chicago,5
67,Charlie Green,bob@example.com,9868528034,Omega Ltd,Marketing Manager,Finance,8181634,Chicago,0
68,John Doe,john@example.com,1895437372,Acme Corp,CEO,Technology,3579129,San Francisco,5
69,Alice Brown,jane@example.com,2503189215,Omega Ltd,Sales Rep,Healthcare,3913404,Los Angeles,2
70,Alice Brown,charlie@example.com,6407499499,Gamma Co,HR Coordinator,Retail,2592210,Los Angeles,2
71,Bob Johnson,charlie@example.com,2846862545,Beta LLC,Sales Rep,Finance,2926690,New York,2
72,Bob Johnson,alice@example.com,9056750744,Widgets Inc,Marketing Manager,Retail,5045190,Boston,3
73,Alice Brown,charlie@example.com,9486999094,Omega Ltd,HR Coordinator,Manufacturing,8051390,New York,4
74,Charlie Green,charlie@example.com,1956663705,Widgets Inc,IT Specialist,Retail,4105906,Los Angeles,4
